architecture,fips,tract,feature_idx
sage,47065011324,47065011324,8
sage,47065011324,47065011324,13
sage,47065011324,47065011324,15
sage,47065011324,47065011324,45
sage,47065011324,47065011324,46
sage,47065011324,47065011324,47
sage,47065011324,47065011324,48
sage,47065011324,47065011324,49
sage,47065011324,47065011324,50
sage,47065011324,47065011324,51
sage,47065011324,47065011324,52
sage,47065011324,47065011324,53
sage,47065011324,47065011324,57
sage,47065011324,47065011324,62
sage,47065011324,47065011324,63
sage,47065011324,47065011324,65
sage,47065011324,47065011324,66
sage,47065011324,47065011324,67
sage,47065011324,47065011324,68
sage,47065011324,47065011324,69
sage,47065000700,47065000700,8
sage,47065000700,47065000700,28
sage,47065000700,47065000700,45
sage,47065000700,47065000700,46
sage,47065000700,47065000700,47
sage,47065000700,47065000700,48
sage,47065000700,47065000700,49
sage,47065000700,47065000700,50
sage,47065000700,47065000700,51
sage,47065000700,47065000700,52
sage,47065000700,47065000700,53
sage,47065000700,47065000700,62
sage,47065000700,47065000700,63
sage,47065011447,47065011447,13
sage,47065011447,47065011447,45
sage,47065011447,47065011447,46
sage,47065011447,47065011447,47
sage,47065011447,47065011447,48
sage,47065011447,47065011447,49
sage,47065011447,47065011447,50
sage,47065011447,47065011447,51
sage,47065011447,47065011447,52
sage,47065011447,47065011447,53
sage,47065011447,47065011447,56
sage,47065011447,47065011447,62
sage,47065011447,47065011447,66
sage,47065011447,47065011447,68
sage,47065011447,47065011447,69
sage,47065011325,47065011325,8
sage,47065011325,47065011325,13
sage,47065011325,47065011325,45
sage,47065011325,47065011325,46
sage,47065011325,47065011325,47
sage,47065011325,47065011325,48
sage,47065011325,47065011325,49
sage,47065011325,47065011325,50
sage,47065011325,47065011325,51
sage,47065011325,47065011325,52
sage,47065011325,47065011325,53
sage,47065011325,47065011325,57
sage,47065011325,47065011325,62
sage,47065011325,47065011325,63
sage,47065011325,47065011325,66
sage,47065011325,47065011325,68
sage,47065011325,47065011325,69
sage,47065000600,47065000600,45
sage,47065000600,47065000600,46
sage,47065000600,47065000600,47
sage,47065000600,47065000600,48
sage,47065000600,47065000600,49
sage,47065000600,47065000600,50
sage,47065000600,47065000600,51
sage,47065000600,47065000600,52
sage,47065000600,47065000600,53
sage,47065000600,47065000600,62
sage,47065000600,47065000600,63
sage,47065011413,47065011413,45
sage,47065011413,47065011413,46
sage,47065011413,47065011413,47
sage,47065011413,47065011413,48
sage,47065011413,47065011413,49
sage,47065011413,47065011413,50
sage,47065011413,47065011413,51
sage,47065011413,47065011413,52
sage,47065011413,47065011413,53
sage,47065011413,47065011413,56
sage,47065011413,47065011413,62
sage,47065011413,47065011413,63
sage,47065011413,47065011413,69
sage,47065011900,47065011900,8
sage,47065011900,47065011900,28
sage,47065011900,47065011900,45
sage,47065011900,47065011900,46
sage,47065011900,47065011900,47
sage,47065011900,47065011900,48
sage,47065011900,47065011900,49
sage,47065011900,47065011900,50
sage,47065011900,47065011900,51
sage,47065011900,47065011900,52
sage,47065011900,47065011900,53
sage,47065011900,47065011900,56
sage,47065011900,47065011900,62
sage,47065011900,47065011900,63
sage,47065011900,47065011900,69
sage,47065010431,47065010431,13
sage,47065010431,47065010431,45
sage,47065010431,47065010431,46
sage,47065010431,47065010431,47
sage,47065010431,47065010431,48
sage,47065010431,47065010431,49
sage,47065010431,47065010431,50
sage,47065010431,47065010431,51
sage,47065010431,47065010431,52
sage,47065010431,47065010431,53
sage,47065010431,47065010431,62
sage,47065010431,47065010431,69
sage,47065010433,47065010433,8
sage,47065010433,47065010433,28
sage,47065010433,47065010433,45
sage,47065010433,47065010433,46
sage,47065010433,47065010433,47
sage,47065010433,47065010433,48
sage,47065010433,47065010433,49
sage,47065010433,47065010433,50
sage,47065010433,47065010433,51
sage,47065010433,47065010433,52
sage,47065010433,47065010433,53
sage,47065010433,47065010433,69
sage,47065011326,47065011326,8
sage,47065011326,47065011326,45
sage,47065011326,47065011326,46
sage,47065011326,47065011326,47
sage,47065011326,47065011326,48
sage,47065011326,47065011326,49
sage,47065011326,47065011326,50
sage,47065011326,47065011326,51
sage,47065011326,47065011326,52
sage,47065011326,47065011326,53
sage,47065011326,47065011326,62
sage,47065011326,47065011326,63
sage,47065011326,47065011326,69
sage,47065001800,47065001800,8
sage,47065001800,47065001800,13
sage,47065001800,47065001800,45
sage,47065001800,47065001800,46
sage,47065001800,47065001800,47
sage,47065001800,47065001800,48
sage,47065001800,47065001800,49
sage,47065001800,47065001800,50
sage,47065001800,47065001800,51
sage,47065001800,47065001800,52
sage,47065001800,47065001800,53
sage,47065001800,47065001800,69
sage,47065011402,47065011402,8
sage,47065011402,47065011402,45
sage,47065011402,47065011402,46
sage,47065011402,47065011402,47
sage,47065011402,47065011402,48
sage,47065011402,47065011402,49
sage,47065011402,47065011402,50
sage,47065011402,47065011402,51
sage,47065011402,47065011402,52
sage,47065011402,47065011402,53
sage,47065011402,47065011402,62
sage,47065011402,47065011402,69
sage,47065011321,47065011321,8
sage,47065011321,47065011321,45
sage,47065011321,47065011321,46
sage,47065011321,47065011321,47
sage,47065011321,47065011321,48
sage,47065011321,47065011321,49
sage,47065011321,47065011321,50
sage,47065011321,47065011321,51
sage,47065011321,47065011321,52
sage,47065011321,47065011321,53
sage,47065011321,47065011321,62
sage,47065011321,47065011321,63
sage,47065011321,47065011321,69
sage,47065011444,47065011444,8
sage,47065011444,47065011444,45
sage,47065011444,47065011444,46
sage,47065011444,47065011444,47
sage,47065011444,47065011444,48
sage,47065011444,47065011444,49
sage,47065011444,47065011444,50
sage,47065011444,47065011444,51
sage,47065011444,47065011444,52
sage,47065011444,47065011444,53
sage,47065010435,47065010435,13
sage,47065010435,47065010435,45
sage,47065010435,47065010435,46
sage,47065010435,47065010435,47
sage,47065010435,47065010435,48
sage,47065010435,47065010435,49
sage,47065010435,47065010435,50
sage,47065010435,47065010435,51
sage,47065010435,47065010435,52
sage,47065010435,47065010435,53
sage,47065010435,47065010435,62
sage,47065010435,47065010435,63
sage,47065010435,47065010435,69
sage,47065011311,47065011311,13
sage,47065011311,47065011311,45
sage,47065011311,47065011311,46
sage,47065011311,47065011311,47
sage,47065011311,47065011311,48
sage,47065011311,47065011311,49
sage,47065011311,47065011311,50
sage,47065011311,47065011311,51
sage,47065011311,47065011311,52
sage,47065011311,47065011311,53
sage,47065011311,47065011311,62
sage,47065011311,47065011311,69
sage,47065003400,47065003400,8
sage,47065003400,47065003400,28
sage,47065003400,47065003400,45
sage,47065003400,47065003400,46
sage,47065003400,47065003400,47
sage,47065003400,47065003400,48
sage,47065003400,47065003400,49
sage,47065003400,47065003400,50
sage,47065003400,47065003400,51
sage,47065003400,47065003400,52
sage,47065003400,47065003400,53
sage,47065003400,47065003400,62
sage,47065003400,47065003400,69
sage,47065002400,47065002400,8
sage,47065002400,47065002400,13
sage,47065002400,47065002400,28
sage,47065002400,47065002400,45
sage,47065002400,47065002400,46
sage,47065002400,47065002400,47
sage,47065002400,47065002400,48
sage,47065002400,47065002400,49
sage,47065002400,47065002400,50
sage,47065002400,47065002400,51
sage,47065002400,47065002400,52
sage,47065002400,47065002400,53
sage,47065002400,47065002400,66
sage,47065002400,47065002400,69
sage,47065001200,47065001200,8
sage,47065001200,47065001200,28
sage,47065001200,47065001200,45
sage,47065001200,47065001200,46
sage,47065001200,47065001200,47
sage,47065001200,47065001200,48
sage,47065001200,47065001200,49
sage,47065001200,47065001200,50
sage,47065001200,47065001200,51
sage,47065001200,47065001200,52
sage,47065001200,47065001200,53
sage,47065001200,47065001200,56
sage,47065001200,47065001200,62
sage,47065001200,47065001200,63
sage,47065001900,47065001900,8
sage,47065001900,47065001900,28
sage,47065001900,47065001900,45
sage,47065001900,47065001900,46
sage,47065001900,47065001900,47
sage,47065001900,47065001900,48
sage,47065001900,47065001900,49
sage,47065001900,47065001900,50
sage,47065001900,47065001900,51
sage,47065001900,47065001900,52
sage,47065001900,47065001900,53
gcn_gat,47065011324,47065011324,8
gcn_gat,47065011324,47065011324,13
gcn_gat,47065011324,47065011324,15
gcn_gat,47065011324,47065011324,45
gcn_gat,47065011324,47065011324,46
gcn_gat,47065011324,47065011324,47
gcn_gat,47065011324,47065011324,48
gcn_gat,47065011324,47065011324,49
gcn_gat,47065011324,47065011324,50
gcn_gat,47065011324,47065011324,51
gcn_gat,47065011324,47065011324,52
gcn_gat,47065011324,47065011324,53
gcn_gat,47065011324,47065011324,57
gcn_gat,47065011324,47065011324,62
gcn_gat,47065011324,47065011324,63
gcn_gat,47065011324,47065011324,65
gcn_gat,47065011324,47065011324,66
gcn_gat,47065011324,47065011324,67
gcn_gat,47065011324,47065011324,68
gcn_gat,47065011324,47065011324,69
gcn_gat,47065000700,47065000700,8
gcn_gat,47065000700,47065000700,28
gcn_gat,47065000700,47065000700,45
gcn_gat,47065000700,47065000700,46
gcn_gat,47065000700,47065000700,47
gcn_gat,47065000700,47065000700,48
gcn_gat,47065000700,47065000700,49
gcn_gat,47065000700,47065000700,50
gcn_gat,47065000700,47065000700,51
gcn_gat,47065000700,47065000700,52
gcn_gat,47065000700,47065000700,53
gcn_gat,47065000700,47065000700,62
gcn_gat,47065000700,47065000700,63
gcn_gat,47065011447,47065011447,13
gcn_gat,47065011447,47065011447,45
gcn_gat,47065011447,47065011447,46
gcn_gat,47065011447,47065011447,47
gcn_gat,47065011447,47065011447,48
gcn_gat,47065011447,47065011447,49
gcn_gat,47065011447,47065011447,50
gcn_gat,47065011447,47065011447,51
gcn_gat,47065011447,47065011447,52
gcn_gat,47065011447,47065011447,53
gcn_gat,47065011447,47065011447,56
gcn_gat,47065011447,47065011447,62
gcn_gat,47065011447,47065011447,66
gcn_gat,47065011447,47065011447,68
gcn_gat,47065011447,47065011447,69
gcn_gat,47065011325,47065011325,8
gcn_gat,47065011325,47065011325,13
gcn_gat,47065011325,47065011325,45
gcn_gat,47065011325,47065011325,46
gcn_gat,47065011325,47065011325,47
gcn_gat,47065011325,47065011325,48
gcn_gat,47065011325,47065011325,49
gcn_gat,47065011325,47065011325,50
gcn_gat,47065011325,47065011325,51
gcn_gat,47065011325,47065011325,52
gcn_gat,47065011325,47065011325,53
gcn_gat,47065011325,47065011325,57
gcn_gat,47065011325,47065011325,62
gcn_gat,47065011325,47065011325,63
gcn_gat,47065011325,47065011325,66
gcn_gat,47065011325,47065011325,68
gcn_gat,47065011325,47065011325,69
gcn_gat,47065000600,47065000600,45
gcn_gat,47065000600,47065000600,46
gcn_gat,47065000600,47065000600,47
gcn_gat,47065000600,47065000600,48
gcn_gat,47065000600,47065000600,49
gcn_gat,47065000600,47065000600,50
gcn_gat,47065000600,47065000600,51
gcn_gat,47065000600,47065000600,52
gcn_gat,47065000600,47065000600,53
gcn_gat,47065000600,47065000600,62
gcn_gat,47065000600,47065000600,63
gcn_gat,47065011413,47065011413,45
gcn_gat,47065011413,47065011413,46
gcn_gat,47065011413,47065011413,47
gcn_gat,47065011413,47065011413,48
gcn_gat,47065011413,47065011413,49
gcn_gat,47065011413,47065011413,50
gcn_gat,47065011413,47065011413,51
gcn_gat,47065011413,47065011413,52
gcn_gat,47065011413,47065011413,53
gcn_gat,47065011413,47065011413,56
gcn_gat,47065011413,47065011413,62
gcn_gat,47065011413,47065011413,63
gcn_gat,47065011413,47065011413,69
gcn_gat,47065011900,47065011900,8
gcn_gat,47065011900,47065011900,28
gcn_gat,47065011900,47065011900,45
gcn_gat,47065011900,47065011900,46
gcn_gat,47065011900,47065011900,47
gcn_gat,47065011900,47065011900,48
gcn_gat,47065011900,47065011900,49
gcn_gat,47065011900,47065011900,50
gcn_gat,47065011900,47065011900,51
gcn_gat,47065011900,47065011900,52
gcn_gat,47065011900,47065011900,53
gcn_gat,47065011900,47065011900,56
gcn_gat,47065011900,47065011900,62
gcn_gat,47065011900,47065011900,63
gcn_gat,47065011900,47065011900,69
gcn_gat,47065010431,47065010431,13
gcn_gat,47065010431,47065010431,45
gcn_gat,47065010431,47065010431,46
gcn_gat,47065010431,47065010431,47
gcn_gat,47065010431,47065010431,48
gcn_gat,47065010431,47065010431,49
gcn_gat,47065010431,47065010431,50
gcn_gat,47065010431,47065010431,51
gcn_gat,47065010431,47065010431,52
gcn_gat,47065010431,47065010431,53
gcn_gat,47065010431,47065010431,62
gcn_gat,47065010431,47065010431,69
gcn_gat,47065010433,47065010433,8
gcn_gat,47065010433,47065010433,28
gcn_gat,47065010433,47065010433,45
gcn_gat,47065010433,47065010433,46
gcn_gat,47065010433,47065010433,47
gcn_gat,47065010433,47065010433,48
gcn_gat,47065010433,47065010433,49
gcn_gat,47065010433,47065010433,50
gcn_gat,47065010433,47065010433,51
gcn_gat,47065010433,47065010433,52
gcn_gat,47065010433,47065010433,53
gcn_gat,47065010433,47065010433,69
gcn_gat,47065011326,47065011326,8
gcn_gat,47065011326,47065011326,45
gcn_gat,47065011326,47065011326,46
gcn_gat,47065011326,47065011326,47
gcn_gat,47065011326,47065011326,48
gcn_gat,47065011326,47065011326,49
gcn_gat,47065011326,47065011326,50
gcn_gat,47065011326,47065011326,51
gcn_gat,47065011326,47065011326,52
gcn_gat,47065011326,47065011326,53
gcn_gat,47065011326,47065011326,62
gcn_gat,47065011326,47065011326,63
gcn_gat,47065011326,47065011326,69
gcn_gat,47065001800,47065001800,8
gcn_gat,47065001800,47065001800,13
gcn_gat,47065001800,47065001800,45
gcn_gat,47065001800,47065001800,46
gcn_gat,47065001800,47065001800,47
gcn_gat,47065001800,47065001800,48
gcn_gat,47065001800,47065001800,49
gcn_gat,47065001800,47065001800,50
gcn_gat,47065001800,47065001800,51
gcn_gat,47065001800,47065001800,52
gcn_gat,47065001800,47065001800,53
gcn_gat,47065001800,47065001800,69
gcn_gat,47065011402,47065011402,8
gcn_gat,47065011402,47065011402,45
gcn_gat,47065011402,47065011402,46
gcn_gat,47065011402,47065011402,47
gcn_gat,47065011402,47065011402,48
gcn_gat,47065011402,47065011402,49
gcn_gat,47065011402,47065011402,50
gcn_gat,47065011402,47065011402,51
gcn_gat,47065011402,47065011402,52
gcn_gat,47065011402,47065011402,53
gcn_gat,47065011402,47065011402,62
gcn_gat,47065011402,47065011402,69
gcn_gat,47065011321,47065011321,8
gcn_gat,47065011321,47065011321,45
gcn_gat,47065011321,47065011321,46
gcn_gat,47065011321,47065011321,47
gcn_gat,47065011321,47065011321,48
gcn_gat,47065011321,47065011321,49
gcn_gat,47065011321,47065011321,50
gcn_gat,47065011321,47065011321,51
gcn_gat,47065011321,47065011321,52
gcn_gat,47065011321,47065011321,53
gcn_gat,47065011321,47065011321,62
gcn_gat,47065011321,47065011321,63
gcn_gat,47065011321,47065011321,69
gcn_gat,47065011444,47065011444,8
gcn_gat,47065011444,47065011444,45
gcn_gat,47065011444,47065011444,46
gcn_gat,47065011444,47065011444,47
gcn_gat,47065011444,47065011444,48
gcn_gat,47065011444,47065011444,49
gcn_gat,47065011444,47065011444,50
gcn_gat,47065011444,47065011444,51
gcn_gat,47065011444,47065011444,52
gcn_gat,47065011444,47065011444,53
gcn_gat,47065010435,47065010435,13
gcn_gat,47065010435,47065010435,45
gcn_gat,47065010435,47065010435,46
gcn_gat,47065010435,47065010435,47
gcn_gat,47065010435,47065010435,48
gcn_gat,47065010435,47065010435,49
gcn_gat,47065010435,47065010435,50
gcn_gat,47065010435,47065010435,51
gcn_gat,47065010435,47065010435,52
gcn_gat,47065010435,47065010435,53
gcn_gat,47065010435,47065010435,62
gcn_gat,47065010435,47065010435,63
gcn_gat,47065010435,47065010435,69
gcn_gat,47065011311,47065011311,13
gcn_gat,47065011311,47065011311,45
gcn_gat,47065011311,47065011311,46
gcn_gat,47065011311,47065011311,47
gcn_gat,47065011311,47065011311,48
gcn_gat,47065011311,47065011311,49
gcn_gat,47065011311,47065011311,50
gcn_gat,47065011311,47065011311,51
gcn_gat,47065011311,47065011311,52
gcn_gat,47065011311,47065011311,53
gcn_gat,47065011311,47065011311,62
gcn_gat,47065011311,47065011311,69
gcn_gat,47065003400,47065003400,8
gcn_gat,47065003400,47065003400,28
gcn_gat,47065003400,47065003400,45
gcn_gat,47065003400,47065003400,46
gcn_gat,47065003400,47065003400,47
gcn_gat,47065003400,47065003400,48
gcn_gat,47065003400,47065003400,49
gcn_gat,47065003400,47065003400,50
gcn_gat,47065003400,47065003400,51
gcn_gat,47065003400,47065003400,52
gcn_gat,47065003400,47065003400,53
gcn_gat,47065003400,47065003400,62
gcn_gat,47065003400,47065003400,69
gcn_gat,47065002400,47065002400,8
gcn_gat,47065002400,47065002400,13
gcn_gat,47065002400,47065002400,28
gcn_gat,47065002400,47065002400,45
gcn_gat,47065002400,47065002400,46
gcn_gat,47065002400,47065002400,47
gcn_gat,47065002400,47065002400,48
gcn_gat,47065002400,47065002400,49
gcn_gat,47065002400,47065002400,50
gcn_gat,47065002400,47065002400,51
gcn_gat,47065002400,47065002400,52
gcn_gat,47065002400,47065002400,53
gcn_gat,47065002400,47065002400,66
gcn_gat,47065002400,47065002400,69
gcn_gat,47065001200,47065001200,8
gcn_gat,47065001200,47065001200,28
gcn_gat,47065001200,47065001200,45
gcn_gat,47065001200,47065001200,46
gcn_gat,47065001200,47065001200,47
gcn_gat,47065001200,47065001200,48
gcn_gat,47065001200,47065001200,49
gcn_gat,47065001200,47065001200,50
gcn_gat,47065001200,47065001200,51
gcn_gat,47065001200,47065001200,52
gcn_gat,47065001200,47065001200,53
gcn_gat,47065001200,47065001200,56
gcn_gat,47065001200,47065001200,62
gcn_gat,47065001200,47065001200,63
gcn_gat,47065001900,47065001900,8
gcn_gat,47065001900,47065001900,28
gcn_gat,47065001900,47065001900,45
gcn_gat,47065001900,47065001900,46
gcn_gat,47065001900,47065001900,47
gcn_gat,47065001900,47065001900,48
gcn_gat,47065001900,47065001900,49
gcn_gat,47065001900,47065001900,50
gcn_gat,47065001900,47065001900,51
gcn_gat,47065001900,47065001900,52
gcn_gat,47065001900,47065001900,53
